headline,link,scraping_time
New York Community Bancorp shares surge after top executives disclose stake purchases,https://www.reuters.com/markets/us/nycb-shares-struggle-gain-after-selloff-over-cre-exposure-worries-2024-02-09/,2024-02-10 20:39:49
Golden Goose and Puig ready IPOs in European deal revival - sources,https://www.reuters.com/markets/deals/golden-goose-puig-ready-ipos-european-deal-revival-sources-2024-02-09/,2024-02-10 20:39:49
"Hyundai picks JPMorgan, Citi to accelerate $3 bln India IPO - sources",https://www.reuters.com/markets/deals/hyundai-appoints-jpmorgan-citi-3-bln-india-ipo-sources-2024-02-09/,2024-02-10 20:39:49
Mediobanca CEO calls for changes to Italy's capital markets bill,https://www.reuters.com/business/finance/mediobanca-ceo-calls-changes-italys-capital-markets-bill-2024-02-09/,2024-02-10 20:39:49
Insurers pause some car policy sales after UK watchdog intervenes again,https://www.reuters.com/world/uk/britain-tells-insurers-suspend-sales-some-car-policies-2024-02-09/,2024-02-10 20:39:49
"Morning Bid: Record Wall St holds, inflation revision eyed",https://www.reuters.com/markets/us/global-markets-view-usa-2024-02-09/,2024-02-10 20:39:49
Big investor in German bank PBB trims stake as real-estate worries swirl,https://www.reuters.com/business/finance/german-bank-pbb-shares-continue-slide-amid-real-estate-troubles-2024-02-09/,2024-02-10 20:39:49
Iraq's central bank revokes Iran's Bank Melli operating licence,https://www.reuters.com/world/middle-east/iraqs-central-bank-revokes-irans-bank-melli-operating-licence-2024-02-09/,2024-02-10 20:39:49
China new bank loans in Jan hit record high on policy support,https://www.reuters.com/world/china/china-january-new-bank-loans-hit-record-high-policy-support-2024-02-09/,2024-02-10 20:39:49
Barclays to adopt fresh curbs on oil and gas financing,https://www.reuters.com/world/uk/barclays-adopt-fresh-curbs-oil-gas-financing-2024-02-09/,2024-02-10 20:39:49
Barclays to buy most of Tesco's banking arm for $757 million,https://www.reuters.com/business/retail-consumer/tesco-sell-banking-operations-barclays-up-700-mln-pounds-2024-02-09/,2024-02-10 20:39:49
"As China woes mount, investment banks brace for more Asia job cuts",https://www.reuters.com/world/asia-pacific/china-woes-mount-investment-banks-brace-more-asia-job-cuts-2024-02-09/,2024-02-10 20:39:49
Mediobanca profit tops forecast as wealth management shift advances,https://www.reuters.com/business/finance/mediobanca-beats-estimates-with-first-half-net-profit-2024-02-09/,2024-02-10 20:39:49
Focus: Barclays investors crave simpler bank as CEO Venkat prepares revamp,https://www.reuters.com/business/barclays-investors-crave-simpler-bank-ceo-venkat-prepares-revamp-2024-02-09/,2024-02-10 20:39:49
Morning Bid: Stocks eye best weekly run since June,https://www.reuters.com/markets/asia/global-markets-view-asia-graphic-2024-02-08/,2024-02-10 20:39:49
Fed's Collins says her baseline expectation is 75 bps of rate cuts this year,https://www.reuters.com/markets/us/feds-collins-says-her-baseline-expectation-is-75-bps-rate-cuts-this-year-2024-02-08/,2024-02-10 20:39:49
"Employer deals earn BofA more than $10 bln in deposits, investments",https://www.reuters.com/business/finance/employer-deals-earn-bofa-more-than-10-bln-deposits-investments-2024-02-08/,2024-02-10 20:39:49
"Exclusive: Flynn Group, world's largest franchisee, explores $5 bln-plus sale -sources",https://www.reuters.com/markets/deals/flynn-group-worlds-largest-franchisee-explores-5-bln-plus-sale-sources-2024-02-08/,2024-02-10 20:39:49
Global creditors quiz ratings agencies over debt relief to the poorest,https://www.reuters.com/sustainability/sustainable-finance-reporting/global-creditors-quiz-ratings-agencies-over-debt-relief-poorest-2024-02-08/,2024-02-10 20:39:49
